Unnamed: 0,name,main_category,rating,reviews,categories,address,city,country,state,zipcode,broader_category,Weighted_Score,Weighted_Average,All_Cities,Category,City
2915,Buffalo River Fest Park,Park,4.7,304.0,"Park, Tourist attraction","Buffalo River Fest Park, 249 Ohio St, Buffalo, NY 14204",Buffalo,USA,NY,,Nature,1428.8,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester",Park,Buffalo
2916,Black Rock Canal Park,Park,4.5,233.0,"Park, Tourist attraction","Black Rock Canal Park, Aqua Ln, Buffalo, NY 14207",Buffalo,USA,NY,,Nature,1048.5,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester",Park,Buffalo
2917,Saint Joseph Cathedral,Catholic cathedral,4.8,227.0,"Catholic cathedral, Cathedral, Church, Rectory, Tourist attraction","Saint Joseph Cathedral, 50 Franklin St, Buffalo, NY 14202",Buffalo,USA,NY,,Religious,1089.6,4.8,"Albany, Buffalo, Dover, New-york-city, Rochester",Catholic Cathedral,Buffalo
2918,Buffalo Heritage Carousel,Tourist attraction,4.8,157.0,Tourist attraction,"Buffalo Heritage Carousel, 44 Prime St, Buffalo, NY 14202",Buffalo,USA,NY,,Entertainment,753.6,4.55,"Albany, Buffalo, Dover, New-york-city, Rochester",Tourist Attraction,Buffalo
2919,Iron Island Museum,Museum,4.5,128.0,"Museum, Tourist attraction","Iron Island Museum, 998 E Lovejoy St, Buffalo, NY 14206",Buffalo,USA,NY,,Cultural,576.0,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester",Museum,Buffalo
2920,The Electric Tower,Historical landmark,4.6,116.0,"Historical landmark, Tourist attraction","The Electric Tower, 535 Washington St, Buffalo, NY 14203",Buffalo,USA,NY,,Cultural,533.5999999999999,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester",Historical Landmark,Buffalo
2921,Buffalo Double Decker Bus Tours,Tourist attraction,4.8,102.0,Tourist attraction,"Buffalo Double Decker Bus Tours, 500 New Babcock St, Buffalo, NY 14206",Buffalo,USA,NY,,Entertainment,489.6,4.55,"Albany, Buffalo, Dover, New-york-city, Rochester",Tourist Attraction,Buffalo
2922,Oldest Tree In Buffalo,Museum,4.6,86.0,"Museum, Tourist attraction","Oldest Tree In Buffalo, 402 Franklin St, Buffalo, NY 14202",Buffalo,USA,NY,,Cultural,395.6,4.7,"Albany, Buffalo, Dover, New-york-city, Rochester",Museum,Buffalo
2923,Red Jacket River Front Park,Park,4.3,177.0,"Park, Tourist attraction","Red Jacket River Front Park, 20 Smith St, Buffalo, NY 14210",Buffalo,USA,NY,,Nature,761.1,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester",Park,Buffalo
2924,Prospect Park,Park,4.1,97.0,"Park, Tourist attraction","Prospect Park, 641-649 Niagara St, Buffalo, NY 14201",Buffalo,USA,NY,,Nature,397.7,4.73,"Albany, Buffalo, Dover, New-york-city, Rochester",Park,Buffalo
2925,Bear Country USA,Wildlife park,4.7,8778.0,"Wildlife park, Animal park, Tourist attraction, Zoo","Bear Country USA, 13820 US-16, Rapid City, SD 57702",Rapid-city,USA,SD,,Entertainment,41256.6,4.58,"Rapid-city, Sioux-falls",Wildlife Park,Rapid-City
2926,Reptile Gardens,Zoo,4.7,6036.0,"Zoo, Botanical garden, Tourist attraction","Reptile Gardens, 8955 US-16, Rapid City, SD 57702",Rapid-city,USA,SD,,Entertainment,28369.2,4.58,"Rapid-city, Sioux-falls",Zoo,Rapid-City
2927,1880 Train - Hill City Depot,Tourist attraction,4.7,3446.0,Tourist attraction,"1880 Train - Hill City Depot, 222 Railroad Ave, Hill City, SD 57745",Rapid-city,USA,SD,,Entertainment,16196.2,4.58,"Rapid-city, Sioux-falls",Tourist Attraction,Rapid-City
2928,Dinosaur Park,Park,4.3,2730.0,"Park, Tourist attraction","Dinosaur Park, 940 Skyline Dr, Rapid City, SD 57701",Rapid-city,USA,SD,,Nature,11739.0,4.69,"Rapid-city, Sioux-falls",Park,Rapid-City
2929,Cosmos Mystery Area,Tourist attraction,4.5,2537.0,"Tourist attraction, Gift shop","Cosmos Mystery Area, 24040 Cosmos Rd, Rapid City, SD 57702",Rapid-city,USA,SD,,Entertainment,11416.5,4.58,"Rapid-city, Sioux-falls",Tourist Attraction,Rapid-City
2930,South Dakota Air and Space Museum,Museum,4.6,1955.0,"Museum, Tourist attraction","South Dakota Air and Space Museum, 2890 Davis Dr, Ellsworth AFB, SD 57706",Rapid-city,USA,SD,,Cultural,8993.0,4.64,"Rapid-city, Sioux-falls",Museum,Rapid-City
2931,WaTiki(r) Indoor Waterpark Resort,Water park,4.2,1924.0,"Water park, Indoor swimming pool, Tourist attraction","WaTiki(r) Indoor Waterpark Resort, 1314 N Elk Vale Rd, Rapid City, SD 57703",Rapid-city,USA,SD,,Entertainment,8080.8,4.58,"Rapid-city, Sioux-falls",Water Park,Rapid-City
2932,Canyon Lake Park,Park,4.7,1775.0,"Park, Tourist attraction","3P67+329 Canyon Lake Park, 4181 Jackson Blvd, Rapid City, SD 57702",Rapid-city,USA,SD,,Nature,8342.5,4.69,"Rapid-city, Sioux-falls",Park,Rapid-City
2933,Rush Mountain Adventure Park,Tourist attraction,4.6,1438.0,"Tourist attraction, Amusement park","Rush Mountain Adventure Park, 13622 SD-40, Keystone, SD 57751",Rapid-city,USA,SD,,Entertainment,6614.799999999999,4.58,"Rapid-city, Sioux-falls",Tourist Attraction,Rapid-City
2934,Rushmore Tramway Adventures,Tourist attraction,4.6,1351.0,"Tourist attraction, Adventure sports","Rushmore Tramway Adventures, 203 Cemetery Rd, Keystone, SD 57751",Rapid-city,USA,SD,,Entertainment,6214.599999999999,4.58,"Rapid-city, Sioux-falls",Tourist Attraction,Rapid-City
2935,Museum of Geology,Museum,4.8,858.0,"Museum, Natural history museum, Science museum, Tourist attraction","Museum of Geology, O'Harra Building, 561 E St Joseph St, Rapid City, SD 57701",Rapid-city,USA,SD,,Cultural,4118.4,4.64,"Rapid-city, Sioux-falls",Museum,Rapid-City
2936,Old MacDonald's Farm,Zoo,4.5,786.0,"Zoo, Amusement center, Amusement park, Children's amusement center, Tourist attraction","Old MacDonald's Farm, 23691 Busted Five Ct, Rapid City, SD 57702",Rapid-city,USA,SD,,Entertainment,3537.0,4.58,"Rapid-city, Sioux-falls",Zoo,Rapid-City
2937,Black Hills Caverns,Tourist attraction,4.6,637.0,Tourist attraction,"Black Hills Caverns, 2600 Cavern Rd, Rapid City, SD 57702",Rapid-city,USA,SD,,Entertainment,2930.2,4.58,"Rapid-city, Sioux-falls",Tourist Attraction,Rapid-City
2938,The Journey Museum,Museum,4.6,615.0,"Museum, Art museum, Children's museum, Event venue, History museum, Tourist attraction","The Journey Museum, 222 New York St, Rapid City, SD 57701",Rapid-city,USA,SD,,Cultural,2829.0,4.64,"Rapid-city, Sioux-falls",Museum,Rapid-City
2939,Buffalo Hunt Coaster,Tourist attraction,4.8,148.0,Tourist attraction,"Buffalo Hunt Coaster, 2255 Fort Hayes Dr, Rapid City, SD 57702",Rapid-city,USA,SD,,Entertainment,710.4,4.58,"Rapid-city, Sioux-falls",Tourist Attraction,Rapid-City
2940,Stratobowl Rim Trailhead,Hiking area,4.8,138.0,"Hiking area, Tourist attraction","Stratobowl Rim Trailhead, 13600 US-16, Rapid City, SD 57702",Rapid-city,USA,SD,,Nature,662.4,4.69,"Rapid-city, Sioux-falls",Hiking Area,Rapid-City
2941,Founders Park,Park,4.6,562.0,"Park, Tourist attraction","Founders Park, 1510 W Omaha St, Rapid City, SD 57701",Rapid-city,USA,SD,,Nature,2585.2,4.69,"Rapid-city, Sioux-falls",Park,Rapid-City
2942,Memorial Park,Park,4.5,274.0,"Park, Tourist attraction","Memorial Park, 600-684 Omaha St, Rapid City, SD 57701",Rapid-city,USA,SD,,Nature,1233.0,4.69,"Rapid-city, Sioux-falls",Park,Rapid-City
